"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 03 20:04:38 UTC 2022","Tue May 03 20:04:41 UTC 2022","3226","","test_main_page","","","","test_login_page_inputs_present[Browser: Firefox]",""
"passed","Tue May 03 20:04:33 UTC 2022","Tue May 03 20:04:35 UTC 2022","1502","","test_product_page","","","","test_guest_should_see_login_link_on_product_page[Browser: MicrosoftEdge]",""
"passed","Tue May 03 20:05:10 UTC 2022","Tue May 03 20:05:16 UTC 2022","6109","","test_main_page","","","","test_guest_cant_see_product_in_basket_opened_from_main_page[Browser: Safari]",""
"passed","Tue May 03 20:04:03 UTC 2022","Tue May 03 20:04:05 UTC 2022","2830","","test_main_page","TestLoginFromMainPage","","","test_guest_can_go_to_login_page[Browser: MicrosoftEdge]",""
"passed","Tue May 03 20:05:20 UTC 2022","Tue May 03 20:05:29 UTC 2022","8801","","test_product_page","TestUserAddToBasketFromProductPage","","","test_user_cant_see_success_message[Browser: Safari]",""
"passed","Tue May 03 20:05:04 UTC 2022","Tue May 03 20:05:13 UTC 2022","8895","","test_product_page","","","","test_guest_cant_see_product_in_basket_opened_from_product_page[Browser: Firefox]",""
"passed","Tue May 03 20:03:53 UTC 2022","Tue May 03 20:03:57 UTC 2022","3853","","test_product_page","","","","test_guest_can_add_product_to_basket[Browser: Chrome]",""
"passed","Tue May 03 20:03:56 UTC 2022","Tue May 03 20:03:58 UTC 2022","1479","","test_product_page","","","","test_guest_can_go_to_login_page_from_product_page[Browser: Chrome]",""
"passed","Tue May 03 20:03:53 UTC 2022","Tue May 03 20:03:55 UTC 2022","1467","","test_main_page","","","","test_login_page_inputs_present[Browser: Chrome]",""
"passed","Tue May 03 20:04:58 UTC 2022","Tue May 03 20:05:05 UTC 2022","7189","","test_main_page","","","","test_guest_cant_see_product_in_basket_opened_from_main_page[Browser: Firefox]",""
"skipped","Tue May 03 20:05:01 UTC 2022","Tue May 03 20:05:08 UTC 2022","6511","","test_product_page","","","","test_message_disappeared_after_adding_product_to_basket[Browser: Firefox]",""
"broken","Tue May 03 20:05:12 UTC 2022","Tue May 03 20:05:14 UTC 2022","1815","","test_product_page","","","","test_guest_cant_see_product_in_basket_opened_from_product_page[Browser: Safari]",""
"passed","Tue May 03 20:05:17 UTC 2022","Tue May 03 20:05:24 UTC 2022","6982","","test_product_page","","","","test_guest_cant_see_success_message[Browser: Safari]",""
"passed","Tue May 03 20:04:25 UTC 2022","Tue May 03 20:04:33 UTC 2022","8334","","test_product_page","TestUserAddToBasketFromProductPage","","","test_user_cant_see_success_message[Browser: MicrosoftEdge]",""
"passed","Tue May 03 20:05:08 UTC 2022","Tue May 03 20:05:10 UTC 2022","1587","","test_main_page","TestLoginFromMainPage","","","test_guest_should_see_login_link[Browser: Safari]",""
"skipped","Tue May 03 20:05:00 UTC 2022","Tue May 03 20:05:03 UTC 2022","3279","","test_product_page","","","","test_guest_cant_see_success_message_after_adding_product_to_basket[Browser: Firefox]",""
"passed","Tue May 03 20:04:59 UTC 2022","Tue May 03 20:05:01 UTC 2022","2563","","test_main_page","TestLoginFromMainPage","","","test_guest_can_go_to_login_page[Browser: Firefox]",""
"passed","Tue May 03 20:03:57 UTC 2022","Tue May 03 20:04:03 UTC 2022","5779","","test_product_page","","","","test_guest_cant_see_product_in_basket_opened_from_product_page[Browser: Chrome]",""
"passed","Tue May 03 20:05:15 UTC 2022","Tue May 03 20:05:19 UTC 2022","3689","","test_product_page","","","","test_guest_can_go_to_login_page_from_product_page[Browser: Safari]",""
